Prediction Accuracy = 42.062%, Running Loss = 5.647732734680176
Prediction Accuracy = 42.074%, Running Loss = 5.647666883468628
Prediction Accuracy = 42.065999999999995%, Running Loss = 5.6475788116455075
Prediction Accuracy = 42.1%, Running Loss = 5.647102165222168
Prediction Accuracy = 42.104%, Running Loss = 5.64704122543335
Prediction Accuracy = 42.116%, Running Loss = 5.647029161453247
Prediction Accuracy = 42.13%, Running Loss = 5.646803283691407
Prediction Accuracy = 42.12%, Running Loss = 5.646857261657715
Prediction Accuracy = 42.128%, Running Loss = 5.646723127365112
Prediction Accuracy = 42.172%, Running Loss = 5.646773910522461
Prediction Accuracy = 42.136%, Running Loss = 5.646722793579102
